feature,mean_abs_shap
Destination Port,0.1029240908837528
Bwd IAT Min,0.07580312232224969
Init_Win_bytes_backward,0.07091779657421966
Bwd IAT Max,0.04044474209263626
Bwd Packet Length Min,0.03982920810321957
Min Packet Length,0.03796720546575898
URG Flag Count,0.03558694258637615
Init_Win_bytes_forward,0.02783910366006239
Bwd IAT Mean,0.027409867637743446
Bwd IAT Total,0.027329795228015426
Total Length of Bwd Packets,0.026319973688350727
ACK Flag Count,0.02546586575670517
Packet Length Variance,0.02461916644097073
Down/Up Ratio,0.023309307445588276
Avg Bwd Segment Size,0.02314423402508055
PSH Flag Count,0.022141605382162196
Bwd Packets/s,0.02172991923725931
Fwd IAT Min,0.021619982546799293
Fwd Packet Length Std,0.021517417075392585
Total Fwd Packets,0.021249985521158123
Flow IAT Max,0.018884770679972292
Fwd Header Length.1,0.018021611489639325
Fwd Packets/s,0.017481929857403884
Bwd Packet Length Mean,0.01662939130808809
Flow Duration,0.01498272369636652
Bwd IAT Std,0.014635565948541398
min_seg_size_forward,0.014363690950775663
Fwd Packet Length Min,0.014095406572669162
Subflow Bwd Bytes,0.01401756236084566
Packet Length Std,0.013364954493099504
act_data_pkt_fwd,0.013238128140210392
Flow IAT Mean,0.01219893260308254
Max Packet Length,0.012158592752211917
Fwd Header Length,0.012078146586245566
Fwd Packet Length Max,0.010081654907660323
Fwd IAT Std,0.009513760494201051
Flow Packets/s,0.009347463149057376
Packet Length Mean,0.008760335395760422
Fwd IAT Total,0.007986341167524528
Idle Max,0.00792831291672826
Flow Bytes/s,0.007701785874597391
Bwd Packet Length Max,0.006910883138143902
SYN Flag Count,0.006749686066109781
Subflow Fwd Bytes,0.006711993947992596
Flow IAT Min,0.0066271425176721264
Average Packet Size,0.006428228520617267
Fwd Packet Length Mean,0.006420718692970695
Avg Fwd Segment Size,0.006249323349495625
Bwd Packet Length Std,0.005858609356505866
Flow IAT Std,0.005820196977201704
Active Mean,0.004909089325058176
Subflow Fwd Packets,0.00484010461347907
Idle Mean,0.004794562961383236
Fwd IAT Mean,0.0047274354587671045
Subflow Bwd Packets,0.0046428626807392
Active Min,0.004523647377958895
Fwd IAT Max,0.004441716893416015
Total Backward Packets,0.00434693124537489
Total Length of Fwd Packets,0.004323281292913634
Bwd Header Length,0.004179326192024746
Active Std,0.003982901068602587
FIN Flag Count,0.0034134867597028773
Idle Min,0.0031324898592760063
Active Max,0.0025265162288781087
Idle Std,0.0023998545895221922
Fwd PSH Flags,0.0022762138791722463
RST Flag Count,0.0
Bwd URG Flags,0.0
Bwd PSH Flags,0.0
Fwd URG Flags,0.0
Bwd Avg Bulk Rate,0.0
Bwd Avg Packets/Bulk,0.0
Bwd Avg Bytes/Bulk,0.0
Fwd Avg Bulk Rate,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bytes/Bulk,0.0
CWE Flag Count,0.0
ECE Flag Count,0.0
